P,lK1_ratio,lK3_ratio
260.0965236641588,(0.73831518671817+9.73452892766054e-13j),(0.11089116548128786+1.5700290342761912e-12j)
276.58516309758613,(0.7623955981090516-4.586122163952519e-12j),(0.11816535447971999-2.578484084647637e-12j)
294.1190884369362,(0.7577284166640672-8.997156937234327e-12j),(0.13753653564179524-3.380301965032893e-11j)
312.76456486009266,(0.7763881804348806+2.7730545144527754e-15j),(0.1328441164511419+6.106876874309377e-13j)
332.59205838011286,(0.784364784657435+5.121503505231725e-12j),(0.16447985812290933+6.278716387912251e-11j)
353.6765021542719,(0.8036520500926626+4.771853987171669e-13j),(0.14800285358822035+2.4620704845119224e-12j)
376.09757967558306,(0.7927672128832521-8.726966416562363e-12j),(0.17298158185719348-4.2680037612180264e-11j)
399.94002591705134,(0.8129789844409919+2.4275706489192844e-12j),(0.16639798784088794+8.912329742744399e-12j)
425.29394756675686,(0.8288918796716237+1.1973753348651232e-12j),(0.19272657946388275-8.017914344851392e-12j)
452.2551635640225,(0.8345204050893618-6.827289313409391e-13j),(0.18554949637925802-1.0042941970585576e-11j)
480.92556722363344,(0.8310405870211937+4.343822229893679e-12j),(0.21456960944474024+2.8833615816514046e-12j)
511.4135113166738,(0.8475568199564897+5.854525480281232e-13j),(0.2187730112475911+3.4539215060551127e-12j)
543.8342175632978,(0.866147783646631+4.059094268938514e-12j),(0.23870001961723553+1.1420555825243365e-10j)
578.3102120850081,(0.8557994462896841+4.2497711531412143e-13j),(0.30460427132679263+2.2704156727655067e-11j)
614.9717884621349,(0.8574978702584668-1.0408129299633661e-11j),(0.2574097411038028-6.234579105384747e-11j)
653.9575001465219,(0.861671493737024+2.300103064059473e-11j),(0.30679470829933597+2.7855084187387942e-11j)
695.4146840903741,(0.8742039969256505-1.7537230982876738e-12j),(0.3395452456420726+4.105196321484029e-11j)
739.5000175701975,(0.8730069311008881-3.789430372672854e-12j),(0.34370266472265126+6.565280010729326e-11j)
786.3801103102007,(0.8635230199344296-1.039103154145322e-11j),(0.40472475190122276-9.08347677821855e-11j)
836.2321341429611,(0.8675870397568449+2.0682362542884833e-11j),(0.45114604443721273+1.3576001882163191e-10j)
889.2444925869855,(0.8552996093096952+1.9558834347948064e-11j),(0.4251331969288262+1.647419153527497e-10j)
945.6175328716772,(0.8709637376455002-1.6896328570021733e-13j),(0.467001530150705-1.7442418946918338e-11j)
1005.5643031006435,(0.8799282288011571+8.88270492649174e-13j),(0.5150104572913434+4.926569167075406e-12j)
1069.3113574148392,(0.8725042577454278-1.252387588374784e-11j),(0.5203184289904612-1.1637357232811807e-10j)
1137.0996121984676,(0.88130452036779-3.891957161357982e-12j),(0.5702532475976505-3.750504874935381e-11j)
1209.185256563482,(0.8550441231533165-1.2531165467513477e-11j),(0.5293001225742916-1.2385236430460049e-11j)
